Ref_Ticket,Date,Heure,Type,Titre,Description,Status,Priority,Items
1,03/06/2026,08:15,Incident,Connexion impossible sur poste admin,Le poste administratif principal ne se connecte plus au domaine ce matin,New,Medium,"[""PC-ADM-001""]"
2,03/06/2026,08:40,Demande,Ajout raccourci comptable,Installer le raccourci de l application de comptabilite sur le poste comptable,Processing (planned),Low,"[""PC-COMPTA-001""]"
3,03/06/2026,09:05,Incident,Ecran noir salle 301,Le moniteur de la salle 301 reste noir apres allumage,Processing (assigned),High,"[""MN-FORM-002""]"
4,03/06/2026,09:30,Demande,Preparation poste labo 1,Installer VS Code Python et Docker sur le poste du laboratoire IA,Pending,Medium,"[""PC-LAB-001""]"
5,03/06/2026,09:55,Incident,Surchauffe unite centrale,La machine emet une alerte de temperature apres 20 minutes d usage,Solved,High,"[""PC-LAB-002""]"
6,03/06/2026,10:20,Demande,Verification inventaire bibliotheque,Verifier la coherence entre le numero d inventaire et l etiquette physique,Closed,Very Low,"[""PC-BIB-001""]"
7,03/06/2026,10:45,Incident,Demarrage lent du poste formation,Le poste en stock demarre avec un delai inhabituel,New,Low,"[""PC-FORM-001""]"
8,03/06/2026,11:10,Demande,Attribution poste administration,Associer le poste administration secondaire a un nouvel utilisateur,Processing (planned),Medium,"[""PC-ADM-002""]"
9,03/06/2026,11:35,Incident,Clavier non reconnu,Le clavier USB n est plus reconnu apres redemarrage,Processing (assigned),Medium,"[""PC-COMPTA-002""]"
10,03/06/2026,12:00,Demande,Ajout imprimante virtuelle,Configurer une imprimante PDF sur le poste de laboratoire,Pending,Low,"[""PC-LAB-003""]"
11,04/06/2026,08:15,Incident,Session utilisateur verrouillee,L utilisateur ne peut plus ouvrir sa session apres trois tentatives,New,Medium,"[""PC-ADM-001"",""PC-ADM-002""]"
12,04/06/2026,08:40,Demande,Nettoyage poste comptable,Planifier un nettoyage logiciel et suppression des fichiers temporaires,Processing (planned),Low,"[""PC-COMPTA-001""]"
13,04/06/2026,09:05,Incident,Peripherique audio absent,Le systeme ne detecte plus la sortie audio du poste,Processing (assigned),Low,"[""PC-COMPTA-002""]"
14,04/06/2026,09:30,Demande,Installation outil visio,Installer Teams et Zoom sur le poste de la bibliotheque,Pending,Medium,"[""PC-BIB-001""]"
15,04/06/2026,09:55,Incident,Artefacts a l ecran,Des lignes de couleur apparaissent sur le moniteur apres 5 minutes,Solved,High,"[""MN-FORM-002""]"
16,04/06/2026,10:20,Demande,Mise a jour poste labo 2,Mettre a jour les dependances Python des notebooks du laboratoire,Closed,Low,"[""PC-LAB-002""]"
17,04/06/2026,10:45,Incident,Connexion reseau instable,La connexion reseau coupe de maniere aleatoire sur le poste,New,High,"[""PC-LAB-001""]"
18,04/06/2026,11:10,Demande,Creation compte local,Creer un compte local de demonstration pour une formation,Processing (planned),Very Low,"[""PC-FORM-001""]"
19,04/06/2026,11:35,Incident,Lecteur USB non monte,La cle USB est detectee mais non montee automatiquement,Processing (assigned),Medium,"[""PC-LAB-003""]"
20,04/06/2026,12:00,Demande,Ajout navigateur secondaire,Installer Firefox en plus du navigateur par defaut,Pending,Low,"[""PC-ADM-001""]"
21,05/06/2026,08:15,Incident,Bureau a distance indisponible,La prise de controle a distance echoue depuis ce matin,New,High,"[""PC-ADM-002""]"
22,05/06/2026,08:40,Demande,Ajout police comptable,Installer une police necessaire a l edition des etats financiers,Processing (planned),Low,"[""PC-COMPTA-001""]"
23,05/06/2026,09:05,Incident,Impression figee depuis labo,Les travaux d impression restent bloques dans la file,Processing (assigned),Medium,"[""PC-LAB-001"",""PC-LAB-002""]"
24,05/06/2026,09:30,Demande,Verification droits partages,Verifier les droits d acces sur le dossier commun du service,Pending,Medium,"[""PC-COMPTA-002""]"
25,05/06/2026,09:55,Incident,Moniteur non detecte apres veille,Le moniteur ne revient pas apres sortie de veille,Solved,Medium,"[""MN-FORM-002""]"
26,05/06/2026,10:20,Demande,Ajout logiciel PDF,Installer un lecteur PDF complet sur le poste de bibliotheque,Closed,Very Low,"[""PC-BIB-001""]"
27,05/06/2026,10:45,Incident,Erreur profil utilisateur,Le profil utilisateur semble corrompu a l ouverture de session,New,High,"[""PC-ADM-001""]"
28,05/06/2026,11:10,Demande,Preparation poste compta 2,Installer les outils bureautiques complementaires demandes par le service,Processing (planned),Low,"[""PC-COMPTA-002""]"
29,05/06/2026,11:35,Incident,Blocage navigateur,L application web interne fige completement le navigateur,Processing (assigned),Medium,"[""PC-LAB-003""]"
30,05/06/2026,12:00,Demande,Remplacement fond ecran,Appliquer le nouveau fond ecran institutionnel sur le parc cible,Pending,Very Low,"[""PC-ADM-001"",""PC-ADM-002"",""PC-BIB-001""]"
31,06/06/2026,08:15,Incident,Antivirus desactive,L antivirus apparait desactive sur le poste administration,New,Major,"[""PC-ADM-001""]"
32,06/06/2026,08:40,Demande,Ajout scanner reseau,Configurer l acces au scanner reseau depuis le poste comptable,Processing (planned),Medium,"[""PC-COMPTA-001""]"
33,06/06/2026,09:05,Incident,Port HDMI inactif,Le port HDMI ne transmet plus l image vers l ecran externe,Processing (assigned),High,"[""PC-LAB-001""]"
34,06/06/2026,09:30,Demande,Nettoyage bureau utilisateurs,Supprimer les anciens raccourcis sur les bureaux des postes de labo,Pending,Low,"[""PC-LAB-002"",""PC-LAB-003""]"
35,06/06/2026,09:55,Incident,Erreur de licence Office,Un message de licence apparait a chaque ouverture d Office,Solved,Medium,"[""PC-BIB-001""]"
36,06/06/2026,10:20,Demande,Audit poste formation,Verifier la configuration du poste destine a la prochaine session de formation,Closed,Very Low,"[""PC-FORM-001""]"
37,06/06/2026,10:45,Incident,Perte de resolution ecran,La resolution du moniteur chute apres connexion d un projecteur,New,Medium,"[""MN-FORM-002""]"
38,06/06/2026,11:10,Demande,Ajout paquet statistique,Installer R et les bibliotheques de base sur le poste laboratoire,Processing (planned),Medium,"[""PC-LAB-002""]"
39,06/06/2026,11:35,Incident,Freeze application comptable,L application comptable se fige lors de l export PDF,Processing (assigned),High,"[""PC-COMPTA-001""]"
40,06/06/2026,12:00,Demande,Ajout utilisateur temporaire,Creer un compte temporaire pour un audit interne,Pending,Low,"[""PC-ADM-002""]"
41,07/06/2026,08:15,Incident,Wifi tres faible,La qualite reseau est insuffisante dans la salle de laboratoire,New,High,"[""PC-LAB-001"",""PC-LAB-003""]"
42,07/06/2026,08:40,Demande,Reconfiguration proxy,Mettre a jour les parametres proxy du service administration,Processing (planned),Low,"[""PC-ADM-001"",""PC-ADM-002""]"
43,07/06/2026,09:05,Incident,Bruit ventilateur anormal,Le ventilateur tourne a vitesse maximale en permanence,Processing (assigned),Medium,"[""PC-COMPTA-002""]"
44,07/06/2026,09:30,Demande,Ajout police arabe,Installer une police supplementaire pour un document officiel,Pending,Very Low,"[""PC-BIB-001""]"
45,07/06/2026,09:55,Incident,Extinction soudaine,Le poste s eteint soudainement en cours de travail,Solved,Very High,"[""PC-LAB-002""]"
46,07/06/2026,10:20,Demande,Mise a jour signatures mail,Appliquer la nouvelle signature institutionnelle sur Outlook,Closed,Low,"[""PC-ADM-001"",""PC-COMPTA-001"",""PC-BIB-001""]"
47,07/06/2026,10:45,Incident,Moniteur clignotant,Le moniteur clignote par intermittence en utilisation standard,New,High,"[""MN-FORM-002""]"
48,07/06/2026,11:10,Demande,Installation lecteur video,Installer VLC sur le poste formation,Processing (planned),Low,"[""PC-FORM-001""]"
49,07/06/2026,11:35,Incident,Impossible ouvrir partage,Le dossier partage comptable refuse l acces en lecture,Processing (assigned),High,"[""PC-COMPTA-001"",""PC-COMPTA-002""]"
50,07/06/2026,12:00,Demande,Ajout extension navigateur,Installer une extension de capture d ecran necessaire au support,Pending,Low,"[""PC-ADM-002""]"
51,08/06/2026,08:15,Incident,Probleme heure systeme,L heure systeme se desynchronise apres redemarrage,New,Low,"[""PC-BIB-001""]"
52,08/06/2026,08:40,Demande,Preparation soutenance,Verifier webcam et micro pour la soutenance de projet,Processing (planned),Medium,"[""PC-LAB-001""]"
53,08/06/2026,09:05,Incident,Erreur disque detectee,Le SMART du disque remonte une alerte critique,Processing (assigned),Major,"[""PC-LAB-003""]"
54,08/06/2026,09:30,Demande,Ajout modele document,Installer un modele de document administratif sur le poste,Pending,Very Low,"[""PC-ADM-001""]"
55,08/06/2026,09:55,Incident,Raccourcis disparus,Les raccourcis du bureau ont disparu apres mise a jour,Solved,Medium,"[""PC-ADM-002""]"
56,08/06/2026,10:20,Demande,Nettoyage file impression,Vider et relancer la file d impression du secteur formation,Closed,Low,"[""PC-FORM-001"",""MN-FORM-002""]"
57,08/06/2026,10:45,Incident,USB instable,Les ports USB se deconnectent pendant la copie de fichiers,New,High,"[""PC-COMPTA-001""]"
58,08/06/2026,11:10,Demande,Activation chiffrement,Activer le chiffrement de disque sur le poste sensible,Processing (planned),High,"[""PC-COMPTA-002""]"
59,08/06/2026,11:35,Incident,Profil navigateur perdu,Les favoris et cookies ont disparu du profil navigateur,Processing (assigned),Medium,"[""PC-LAB-002""]"
60,08/06/2026,12:00,Demande,Ajout visionneuse image,Installer une visionneuse plus legere pour le service,Pending,Low,"[""PC-BIB-001""]"
61,09/06/2026,08:15,Incident,Impossible joindre imprimante,L imprimante reseau n est plus joignable depuis le poste,New,High,"[""PC-ADM-001""]"
62,09/06/2026,08:40,Demande,Ajout repertoire local,Creer un repertoire local pour stocker des exports temporaires,Processing (planned),Very Low,"[""PC-COMPTA-001""]"
63,09/06/2026,09:05,Incident,Session se ferme seule,La session utilisateur se ferme brutalement apres quelques minutes,Processing (assigned),High,"[""PC-ADM-002""]"
64,09/06/2026,09:30,Demande,Preparation poste bibliotheque,Installer les utilitaires demandes pour la consultation numerique,Pending,Medium,"[""PC-BIB-001""]"
65,09/06/2026,09:55,Incident,Driver graphique absent,Le pilote graphique semble ne plus etre charge correctement,Solved,High,"[""PC-LAB-001""]"
66,09/06/2026,10:20,Demande,Ajout application archive,Installer un outil d archivage sur le poste de formation,Closed,Low,"[""PC-FORM-001""]"
67,09/06/2026,10:45,Incident,Affichage flou moniteur,L image du moniteur est floue malgre la bonne resolution,New,Medium,"[""MN-FORM-002""]"
68,09/06/2026,11:10,Demande,Mise a jour navigateur labo,Mettre a jour le navigateur des postes du laboratoire IA,Processing (planned),Low,"[""PC-LAB-002"",""PC-LAB-003""]"
69,09/06/2026,11:35,Incident,Partage compta indisponible,Le service ne peut plus acceder au partage de rapports,Processing (assigned),Very High,"[""PC-COMPTA-001"",""PC-COMPTA-002""]"
70,09/06/2026,12:00,Demande,Ajout script sauvegarde,Ajouter un script de sauvegarde locale automatique,Pending,Medium,"[""PC-ADM-001""]"
71,10/06/2026,08:15,Incident,Double authentification bloquee,Le code OTP n arrive pas sur le poste de destination,New,High,"[""PC-ADM-002""]"
72,10/06/2026,08:40,Demande,Ajout modele impression,Installer un modele de mise en page pour l imprimante de service,Processing (planned),Low,"[""PC-COMPTA-001""]"
73,10/06/2026,09:05,Incident,Espace disque sature,Le disque systeme est presque plein et bloque les mises a jour,Processing (assigned),Major,"[""PC-LAB-003""]"
74,10/06/2026,09:30,Demande,Verification webcam,Verifier la webcam avant une reunion a distance,Pending,Very Low,"[""PC-BIB-001""]"
75,10/06/2026,09:55,Incident,Blocage ouverture PDF,L ouverture de certains PDF provoque une erreur application,Solved,Medium,"[""PC-ADM-001""]"
76,10/06/2026,10:20,Demande,Ajout client VPN,Installer le client VPN sur le poste laboratoire,Closed,Medium,"[""PC-LAB-001""]"
77,10/06/2026,10:45,Incident,Connexion bluetooth absente,Le module bluetooth n apparait plus dans Windows,New,Low,"[""PC-FORM-001""]"
78,10/06/2026,11:10,Demande,Ajout utilitaire capture,Installer un utilitaire de capture d ecran avance,Processing (planned),Low,"[""PC-ADM-001"",""PC-ADM-002""]"
79,10/06/2026,11:35,Incident,Erreur profil roaming,Le profil roaming ne charge plus les parametres attendus,Processing (assigned),High,"[""PC-COMPTA-002""]"
80,10/06/2026,12:00,Demande,Preparation salle de demo,Verifier les postes et le moniteur de la salle avant demonstration,Pending,Medium,"[""PC-FORM-001"",""MN-FORM-002""]"
81,11/06/2026,08:15,Incident,Lecteur reseau disparu,Le lecteur mape n apparait plus dans l explorateur,New,Medium,"[""PC-BIB-001""]"
82,11/06/2026,08:40,Demande,Ajout outil compression,Installer 7 Zip sur les postes administration,Processing (planned),Low,"[""PC-ADM-001"",""PC-ADM-002""]"
83,11/06/2026,09:05,Incident,Redemarrages repetes,Le poste redemarre sans message d erreur,Processing (assigned),Very High,"[""PC-LAB-002""]"
84,11/06/2026,09:30,Demande,Ajout gabarit tableur,Installer un modele de tableur pour le suivi budgetaire,Pending,Low,"[""PC-COMPTA-001""]"
85,11/06/2026,09:55,Incident,Souris non detectee,La souris sans fil ne repond plus sur le poste,Solved,Low,"[""PC-COMPTA-002""]"
86,11/06/2026,10:20,Demande,Verification batterie,Verifier l etat de la batterie du poste de laboratoire,Closed,Very Low,"[""PC-LAB-001""]"
87,11/06/2026,10:45,Incident,Probleme affichage projecteur,Le basculement sur le projecteur coupe l affichage principal,New,Medium,"[""MN-FORM-002"",""PC-FORM-001""]"
88,11/06/2026,11:10,Demande,Ajout plugin navigateur,Installer un plugin de traduction demande par le service,Processing (planned),Very Low,"[""PC-BIB-001""]"
89,11/06/2026,11:35,Incident,Messagerie ne synchronise plus,Les nouveaux mails n arrivent plus dans Outlook,Processing (assigned),High,"[""PC-ADM-001""]"
90,11/06/2026,12:00,Demande,Reinstallation suite bureautique,Reinstaller proprement la suite bureautique sur un poste de test,Pending,Medium,"[""PC-LAB-003""]"
91,12/06/2026,08:15,Incident,Ticket synthese parc,Controle general des postes critiques apres incident electrique,New,Major,"[""PC-ADM-001"",""PC-COMPTA-001"",""PC-LAB-001""]"
92,12/06/2026,08:40,Demande,Ajout fond charte,Appliquer le nouveau fond conforme a la charte graphique,Processing (planned),Very Low,"[""PC-BIB-001"",""PC-FORM-001""]"
93,12/06/2026,09:05,Incident,Erreur mot de passe coffre,Le coffre de mots de passe ne s ouvre plus sur le poste support,Processing (assigned),High,"[""PC-ADM-002""]"
94,12/06/2026,09:30,Demande,Verification licences labo,Verifier les licences actives sur les postes du laboratoire,Pending,Medium,"[""PC-LAB-002"",""PC-LAB-003""]"
95,12/06/2026,09:55,Incident,Image ecran coupee,Une partie de l image est tronquee sur le moniteur,Solved,Medium,"[""MN-FORM-002""]"
96,12/06/2026,10:20,Demande,Ajout outil signature,Installer un outil de signature PDF sur le poste comptable,Closed,Low,"[""PC-COMPTA-001""]"
97,12/06/2026,10:45,Incident,Application interne inaccessible,L application de suivi interne retourne une erreur locale au lancement,New,High,"[""PC-COMPTA-002""]"
98,12/06/2026,11:10,Demande,Preparation poste reunion,Verifier audio video avant reunion de direction,Processing (planned),Medium,"[""PC-ADM-001"",""MN-FORM-002""]"
99,12/06/2026,11:35,Incident,Sauvegarde locale echoue,La tache planifiee de sauvegarde locale echoue chaque soir,Processing (assigned),Very High,"[""PC-LAB-001""]"
100,12/06/2026,12:00,Demande,Cloture campagne maintenance,Documenter et cloturer les actions preventives du lot de postes,Closed,Low,"[""PC-ADM-001"",""PC-ADM-002"",""PC-COMPTA-001"",""PC-LAB-001""]"
